0	0.65
86400	2.72
172800	40
259200	24.78
345600	0.48
432000	1.26
518400	0.72
604800	7.89
691200	0.55
777600	0.49
864000	3.6
950400	1.43
1036800	5.56
1123200	1.45
1209600	2.07
1296000	3.41
1382400	0.59
1468800	1.4
1555200	1.84
1641600	2.65
1728000	1.07
1814400	3.97
1900800	0.46
1987200	2.07
2073600	0.81
2160000	0.13
2246400	3.69
2332800	0.6
2419200	0.73
2505600	0.54
2592000	0.8
2678400	1.5
2764800	1.44
2851200	0.3
2937600	12.41
3024000	2.64
3110400	0.74
3196800	1.88
3283200	0.38
3369600	0.27
3456000	1.78
3542400	5.17
3628800	1.84
3715200	1.06
3801600	0.5
3888000	1.27
3974400	1.86
4060800	0.34
4147200	0.27
4233600	1.31
4320000	0.47
4406400	6.81
4492800	0.64
4579200	0.58
4665600	0.27
4752000	3.11
4838400	0.53
4924800	0.76
5011200	0.46
5097600	1.42
5184000	1.52
5270400	0.45
5356800	0.16
5443200	0.47
5529600	1.94
5616000	1.32
5702400	1.33
5788800	1.15
5875200	1.52
5961600	4.62
6048000	5.27
6134400	2.37
6220800	0.5
6307200	0.46
6393600	0.98
6480000	5.9
6566400	0.77
6652800	1.16
6739200	0.82
6825600	2.47
6912000	0.56
6998400	3.74
7084800	0.71
7171200	1.34
7257600	0.73
7344000	5.06
7430400	0.72
7516800	0.61
7603200	1.04
7689600	1.46
7776000	0.48
7862400	0.57
7948800	0.83
8035200	0.66
8121600	1.52
8208000	3.65
8294400	1.62
8380800	0.17
8467200	9.55
8553600	1.22
8640000	0.57
8726400	0.95
8812800	1.77
8899200	1.56
8985600	0.27
9072000	1.32
9158400	1.51
9244800	0.28
9331200	0.25
9417600	0.59
9504000	0.68
9590400	0.37
9676800	0.99
9763200	0.22
9849600	3.77
9936000	3.02
10022400	0.76
10108800	9.7
10195200	2.45
10281600	4.63
10368000	0.69
10454400	0.64
10540800	0.33
10627200	8.6
10713600	0.49
10800000	0.73
10886400	9.6
10972800	4.67
11059200	1.07
11145600	0.28
11232000	0.97
11318400	0.78
11404800	1.14
11491200	0.42
11577600	0.51
11664000	0.92
11750400	0.64
11836800	2.07
11923200	7.49
12009600	0.46
12096000	6.06
12182400	0.94
12268800	2.29
12355200	2.63
12441600	0.25
12528000	0.57
12614400	7.33
12700800	1.38
12787200	0.08
12873600	0.83
12960000	0.7
13046400	1.78
13132800	2.34
13219200	0.43
13305600	1.23
